A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X
"""automagic""",Refuctoring,"""plug and pray""",Yoda Conditions,"Garbage in, garbage out",TLA,NOOP/NOP,Duck Typing,fat finger,Bikeshedding,MINASWAN,Easter Egg,ping,Dogfooding,Monkey Patch,splat,Heisenbug,Shaving the Yak,Boss key,shebang,RTFM,"""Internet of Things""","""bounce the server""",Kludge
Easter Egg,DHH,Dogfooding,"""boom""",ping,Code Smell,WAT?!,threequals,KISS,Ballmer Peak,TLA,TMTOWTDI,fat finger,Grok,Ship It,"""plug and pray""",MINASWAN,Refuctoring,splat,"""bounce the server""",Cargo Cult,Bikeshedding,Monkey Patch,RTFM
Easter Egg,Ballmer Peak,"""boom""",Ship It,YAGNI,(FU|FOO)BAR,MINASWAN,TL;DR,Copy-pasta,"Garbage in, garbage out",shebang,Law of Demeter,Cargo Cult,Monkey Patch,fat finger,Yoda Conditions,"""bounce the server""",Refuctoring,Spaghetti Code,Peel the Onion,"""Internet of Things""",Boss key,Duck Typing,PEBKAC
Shaving the Yak,Monkey Patch,YAGNI,Peel the Onion,PEBKAC,Hand-wavey,Here be Dragons,Talk to the Duck,Boss key,Copy-pasta,"Garbage in, garbage out","""bounce the server""",shebang,TLA,DHH,threequals,scope creep,Duck Typing,KISS,TL;DR,WAT?!,fat finger,splat,Dogfooding
Heisenbug,TL;DR,Copy-pasta,scope creep,Refuctoring,"""automagic""",Grok,KISS,ping,Kludge,"""Internet of Things""","Garbage in, garbage out",YAGNI,RTFM,Boss key,Monkey Patch,shebang,TLA,"""boom""",threequals,Code Smell,Shaving the Yak,"""plug and pray""",NOOP/NOP
Refuctoring,Yoda Conditions,TMTOWTDI,Peel the Onion,Easter Egg,Gold plating,all your {base} are belong to us,Law of Demeter,TL;DR,(FU|FOO)BAR,Hand-wavey,ping,shebang,Duck Typing,MINASWAN,scope creep,Bikeshedding,YAGNI,Monkey Patch,DHH,Cargo Cult,"""bounce the server""",Grok,Here be Dragons
YAGNI,Easter Egg,WAT?!,threequals,"""automagic""",fat finger,TMTOWTDI,Refuctoring,Shaving the Yak,Cargo Cult,Talk to the Duck,Kludge,Law of Demeter,Boss key,RTFM,Copy-pasta,Duck Typing,PEBKAC,Ballmer Peak,Heisenbug,KISS,NOOP/NOP,"""Internet of Things""",DHH
fat finger,all your {base} are belong to us,Peel the Onion,Boss key,"""automagic""",TMTOWTDI,ping,shebang,Dogfooding,"""plug and pray""",TL;DR,MINASWAN,DHH,NOOP/NOP,Ship It,Bikeshedding,Law of Demeter,Duck Typing,Heisenbug,(FU|FOO)BAR,"""bounce the server""",threequals,RTFM,TLA
"""bounce the server""",Talk to the Duck,RTFM,TMTOWTDI,"""Internet of Things""",TL;DR,Spaghetti Code,TLA,splat,MINASWAN,Refuctoring,scope creep,Dogfooding,Heisenbug,threequals,Grok,Law of Demeter,Duck Typing,Ballmer Peak,Bikeshedding,YAGNI,DRY,"""automagic""",Cargo Cult
Gold plating,Boss key,Heisenbug,DRY,"""Internet of Things""",Shaving the Yak,DHH,fat finger,Dogfooding,scope creep,"""automagic""","Garbage in, garbage out",Law of Demeter,all your {base} are belong to us,Here be Dragons,PEBKAC,"""plug and pray""",KISS,Hand-wavey,Kludge,Yoda Conditions,MINASWAN,WAT?!,ping
Ship It,splat,Refuctoring,all your {base} are belong to us,Spaghetti Code,scope creep,PEBKAC,"""boom""",Here be Dragons,KISS,YAGNI,Talk to the Duck,Shaving the Yak,Dogfooding,Heisenbug,"Garbage in, garbage out",threequals,TLA,"""automagic""",NOOP/NOP,"""plug and pray""",Hand-wavey,Grok,Peel the Onion
Dogfooding,RTFM,NOOP/NOP,Peel the Onion,Shaving the Yak,Here be Dragons,ping,MINASWAN,Copy-pasta,threequals,"Garbage in, garbage out",Talk to the Duck,YAGNI,Kludge,TMTOWTDI,TLA,DHH,Boss key,Bikeshedding,shebang,KISS,splat,"""Internet of Things""",PEBKAC
Shaving the Yak,Bikeshedding,Ballmer Peak,Dogfooding,splat,"""Internet of Things""",scope creep,TL;DR,Heisenbug,"""automagic""",Spaghetti Code,DRY,WAT?!,"Garbage in, garbage out",Cargo Cult,fat finger,Kludge,YAGNI,Yoda Conditions,Boss key,TMTOWTDI,Duck Typing,Copy-pasta,Gold plating
NOOP/NOP,WAT?!,Ship It,MINASWAN,ping,KISS,TMTOWTDI,Law of Demeter,DHH,Dogfooding,Hand-wavey,Kludge,Monkey Patch,threequals,PEBKAC,fat finger,TL;DR,Talk to the Duck,Here be Dragons,YAGNI,Refuctoring,DRY,Copy-pasta,"Garbage in, garbage out"
Here be Dragons,"""bounce the server""",Heisenbug,NOOP/NOP,scope creep,Cargo Cult,Ship It,Refuctoring,Yoda Conditions,Code Smell,Spaghetti Code,KISS,WAT?!,Hand-wavey,Kludge,Copy-pasta,Bikeshedding,YAGNI,Grok,(FU|FOO)BAR,Dogfooding,TLA,PEBKAC,Peel the Onion
Ship It,"""plug and pray""","""automagic""",NOOP/NOP,Duck Typing,"""bounce the server""",PEBKAC,TMTOWTDI,Peel the Onion,YAGNI,Spaghetti Code,Dogfooding,Law of Demeter,Boss key,Monkey Patch,Heisenbug,"""boom""",Yoda Conditions,threequals,DRY,fat finger,TL;DR,KISS,Cargo Cult
Heisenbug,"""plug and pray""",threequals,Kludge,Yoda Conditions,Duck Typing,Talk to the Duck,Peel the Onion,Gold plating,Dogfooding,ping,RTFM,Code Smell,shebang,"""automagic""",splat,PEBKAC,Law of Demeter,Shaving the Yak,Ship It,all your {base} are belong to us,"Garbage in, garbage out","""boom""",TL;DR
scope creep,Talk to the Duck,Ballmer Peak,Refuctoring,TL;DR,"Garbage in, garbage out",Grok,"""bounce the server""",fat finger,RTFM,TLA,Spaghetti Code,DRY,all your {base} are belong to us,Here be Dragons,threequals,Dogfooding,(FU|FOO)BAR,Gold plating,Peel the Onion,KISS,Ship It,Duck Typing,Bikeshedding
Dogfooding,Refuctoring,Ship It,Duck Typing,Easter Egg,shebang,TLA,RTFM,fat finger,Gold plating,ping,Grok,Yoda Conditions,DRY,Heisenbug,DHH,Shaving the Yak,"""boom""","""automagic""",Bikeshedding,WAT?!,Code Smell,Ballmer Peak,MINASWAN
ping,(FU|FOO)BAR,scope creep,NOOP/NOP,Ballmer Peak,Ship It,Boss key,DRY,Spaghetti Code,Talk to the Duck,Refuctoring,"""bounce the server""",DHH,Monkey Patch,"""Internet of Things""","""plug and pray""",KISS,PEBKAC,Heisenbug,Kludge,Peel the Onion,Yoda Conditions,splat,Gold plating
splat,Duck Typing,Ship It,threequals,"""boom""",Yoda Conditions,TL;DR,Boss key,Ballmer Peak,Talk to the Duck,all your {base} are belong to us,Monkey Patch,PEBKAC,"Garbage in, garbage out",Kludge,Spaghetti Code,Gold plating,Dogfooding,WAT?!,Bikeshedding,(FU|FOO)BAR,Here be Dragons,"""automagic""",shebang
ping,Yoda Conditions,KISS,Ship It,shebang,Easter Egg,"""bounce the server""",Law of Demeter,Boss key,scope creep,Spaghetti Code,TLA,Peel the Onion,Kludge,fat finger,(FU|FOO)BAR,Monkey Patch,Bikeshedding,splat,RTFM,WAT?!,YAGNI,Grok,threequals
scope creep,RTFM,PEBKAC,"""Internet of Things""",Here be Dragons,KISS,Heisenbug,DHH,Yoda Conditions,"""plug and pray""",Easter Egg,Copy-pasta,all your {base} are belong to us,ping,Shaving the Yak,fat finger,Code Smell,TLA,WAT?!,Grok,Ship It,Peel the Onion,Cargo Cult,splat
Boss key,Shaving the Yak,"Garbage in, garbage out",Kludge,Gold plating,Hand-wavey,all your {base} are belong to us,YAGNI,"""boom""","""bounce the server""",Copy-pasta,Dogfooding,splat,"""plug and pray""",PEBKAC,Talk to the Duck,fat finger,Here be Dragons,(FU|FOO)BAR,scope creep,Duck Typing,KISS,Monkey Patch,Peel the Onion
shebang,Dogfooding,Code Smell,Easter Egg,DRY,RTFM,Spaghetti Code,WAT?!,fat finger,"""automagic""",TLA,DHH,ping,Here be Dragons,Heisenbug,Law of Demeter,"""bounce the server""",TL;DR,threequals,Shaving the Yak,splat,"""boom""",Boss key,"""plug and pray"""
Grok,all your {base} are belong to us,(FU|FOO)BAR,DRY,ping,Bikeshedding,"Garbage in, garbage out",Duck Typing,"""Internet of Things""",Easter Egg,Ballmer Peak,scope creep,Talk to the Duck,Spaghetti Code,"""automagic""","""boom""",DHH,Boss key,Code Smell,TMTOWTDI,Refuctoring,Copy-pasta,"""bounce the server""",Heisenbug
KISS,Ballmer Peak,"Garbage in, garbage out",PEBKAC,Talk to the Duck,"""boom""",Easter Egg,shebang,WAT?!,Bikeshedding,Cargo Cult,splat,Grok,ping,Peel the Onion,(FU|FOO)BAR,NOOP/NOP,"""plug and pray""",Law of Demeter,Monkey Patch,DHH,Duck Typing,MINASWAN,Yoda Conditions
Here be Dragons,Talk to the Duck,DRY,Code Smell,Kludge,Heisenbug,KISS,Peel the Onion,DHH,"Garbage in, garbage out",(FU|FOO)BAR,"""Internet of Things""","""boom""",TLA,Boss key,threequals,RTFM,TL;DR,"""automagic""",Easter Egg,Copy-pasta,Spaghetti Code,WAT?!,PEBKAC
(FU|FOO)BAR,Bikeshedding,"""boom""",Grok,Refuctoring,"""Internet of Things""",MINASWAN,NOOP/NOP,Easter Egg,fat finger,TL;DR,DHH,Kludge,Cargo Cult,Law of Demeter,Code Smell,Here be Dragons,Yoda Conditions,Dogfooding,Heisenbug,splat,Copy-pasta,Peel the Onion,Gold plating
Gold plating,TMTOWTDI,Duck Typing,KISS,Hand-wavey,TL;DR,(FU|FOO)BAR,Shaving the Yak,MINASWAN,Kludge,DHH,splat,scope creep,shebang,Cargo Cult,threequals,Copy-pasta,Dogfooding,Yoda Conditions,"""bounce the server""",Grok,fat finger,Here be Dragons,"""plug and pray"""
Duck Typing,Talk to the Duck,Code Smell,splat,TL;DR,"""plug and pray""",Here be Dragons,Ship It,Heisenbug,"""boom""","""automagic""",Kludge,Ballmer Peak,MINASWAN,PEBKAC,Grok,scope creep,KISS,Gold plating,"""Internet of Things""",TLA,Peel the Onion,"""bounce the server""",Boss key
Easter Egg,threequals,Code Smell,Monkey Patch,Grok,Spaghetti Code,YAGNI,(FU|FOO)BAR,Gold plating,splat,scope creep,ping,Kludge,Shaving the Yak,"""bounce the server""",DHH,"""automagic""",NOOP/NOP,Here be Dragons,Ballmer Peak,"Garbage in, garbage out",WAT?!,Ship It,Cargo Cult
